article_id,question,correct_answer,false_answer
51129,Was Kalrab correct in how he felt about the Earthmen?,"No - he said clay and their fortune would last forever, and he was wrong","Kind of - he was right when he said the Earthmen weren't something to worry about, but he was wrong about clay lasting forever"
51046,Which isn't a feeling that the older man expects of the younger man?,anger,worry
60713,What is the significance of the story's title?,There is a man on board hired specifically to act as the weight to keep the others balanced,It hints at the importance of the balance of weight on the ship for successful mission
23767,Which description is the best representation of Yrtok's role in the story?,Her fall leads Kolin to find Ashlew,"She found the purple berries, an important source of food for the stranded crew."
20007,What is the risk involved in the president sneaking out to a woman's house?,People living near the woman might notice the agents,He has to inform the head of the secret service
63640,What is the best explanation of Pard Hoskins’ relationship to Akroida?,"Pard Hoskins sold Jupiter’s queen scorpion, Akroida, a Halcyon Diamond. Before he was put in prison, he planned to bring her Killicut Emeralds. However, their business relationship became complicated when Hoskins accidentally wore yellow in front of Akroida—a deeply offensive color to Jupiter’s scorpion race.

","Pard Hoskins sold Jupiter’s queen scorpion, Akroida, a Halcyon Diamond. Before he was put in prison, he planned to bring her lettuce and arsenic, her favorite foods. However, their business relationship became complicated when Hoskins accidentally wore green in front of Akroida—a color which deeply offends Jupiter’s scorpion race.

"
23942,Why did Simon's new friend not give him an aspirin when Simon asked for one?,He needed to knock him out to go back to the festival so that Simon would not know what had happened.,He gave him a different medicine instead that he thought would work better.
26569,What is the purpose of a comanalysis?,It gives more direct access to the plagues of the human mind,It permits a psychoanalyst to remove traumatic memories
51092,"Based on the context of the story, on which day was the package received to the home?",Tuesday,Wednesday
52995,What clearly showed a sense humbleness presented by Si?,His lack of awareness that he would be considered a celebrity at the Kudos Room.,His quaint behavior at the banquet where he was presented with a gold watch.
63477,How did Trillium end up as a stow-away on the ship?,She chose to show away so that the Venus women could bring their cause to the attention of Earth's President. ,She had fallen for the Earthmen and had chosen to run away with them.
60995,Which of these is not a likely consequence of the end of the story?,Greta finds her own way to establish herself and find the money she wants,"Linton goes through treatment, eventually repeating the same events"
51295,Why did Dan believe that he was a lepidpoptera specialist? ,He received a partial brain transplant from a lepidopterist,He was mis-remembering a former career
99921,What is the central purpose of the article? ,To advocate support for expansion of Creative Commons licenses,To illustrate how photographers go about their creative processes
63631,What is the true cause of Earth’s “plague” and what is its purpose?,"The plague was facilitated by aliens, described as invisible, ovular beings. Their purpose is to move from planet to planet exterminating living systems. 

","The plague was facilitated by aliens, described as invisible, ovular beings. Their purpose is to clear Earth of all life and start their own colony. 

"
61204,"Had Wayne actually accomplished his mission given to him by Captain Jack, would he have felt victorious?","No, because Wayne would not be able to mentally handle the murders.","Yes, because Wayne wanted to make Captain Jack proud no matter what."
20032,Does the author think Harris is serious about selling eggs?,"Not at all, selling eggs is a PR stunt, to drive traffic to Harris' pornography website.","Yes, however, he is not intelligent enough to see the many flaws in his plan."
51330,Who is the nucleus?,Alec,McGill
51170,What did Templin and Eckert find odd about the children they encountered?,They were all impressively healthy. ,They were all more well-behaved than any children they had seen on Earth
51337,Why don't the cousins realize the flaw in their plan?,They are not very intelligent.,They are highly interbred.
61481,"What is Androka’s motivation for using the zone of silence? 
","He is helping the Nazi war effort
","He is planning revenge against the Nazis for harming his family. 
"
20073,How does Lahaye feel about Jews?,He blames Jews for much of the evil in the world. ,He thinks all Jews are the Antichrist. 
63890,Who was the mission intended to benefit?,"Captain Walsh, because he wanted to see Major Polk suffer.","Captain Walsh, because they desperately needed to find the right Joe."
51286,Why did the librarian really give every woman Mr. Gorka's address?,to prove him wrong,to help him find a suitable companion
51656,Why does Hendricks help Joe?,Hendricks knows Joe will not go for the free treatment. ,Hendricks knows becoming an EX is the way for Joe to get an excellent job.
25627,Why is the Geig Corps important?,It is UranCo's method of acquiring manpower for the resource search,Val and Ron worked for them before signing up with UranCo
20028,What was NOT a metric test subjects were asked to use in these experiments?,Guessing the most expensive of the samples,Personal opinion of the sample
58733,How does Alice feel about delivering the baby on the space station?,"She is confident in Major Barnes. She feels he's perfectly competent, though obstetrics is not his field.",She is scared because the baby is so early and there is no incubator onboard the space station.
99920,Which is true about the role of trust in computing?,Adding more signposts for trust and approval in computing systems reflects a decrease in trust in their users,Increased trust in computers allows for more components of systems to be automated than before
52326,"What is the relationship between the Formians and Cupians? 

","Formians oppressed Cupians, until the uprising led in part by the human Myles Cabot. 
","Cupians and Formians were caught in a constant struggle for power over New Formia, until Myles Cabot facilitated married the Cupian princes and brought peace between peoples. 
"
50988,What is something that isn't true about the man who saved Gabe?,he's married to the light-haired girl,he plays a dangerous game
61097,"Why does Chip seem to enjoy talking to Retief?
",He doesn’t like the captain and likes that Retief doesn’t like him either.,"As he says, he likes to see a “feller” eat and enjoys cooking for him.
"
51433,Who does Extrone trust the most?,Lin,businessmen
63919,What is the crew’s mission?,To explore possible planets to support life,To conduct tests about life in space
62569,What makes the protagonists become less concerned about being trapped by the beasts?,"They realized the beasts were not actual beasts, but were meant to seem real.","They realized that the beasts were too big to fit into the space they were in, so they could camp out in that spot indefinitely."
23588,"Which statement about the relationship between Thaddeus Funston and Miss Abercrombie is most true, based on the facts in the story?",She encourages him to keep making progress over time as she supervises him in one area of his treatment,Miss Abercrombie has long considered Thaddeus a problem student of hers and is frustrated by his behavior
62498,What was the root of the Cuchulainn's landing issue?,"Dick and Rob had anticipated landing during daylight hours, not at night.",The gravitational pull was too strong.
53269,What best describes how the overall tone changed from the beginning of the article?,From lighthearted to tense.,From upbeat to sympathetic.
20061,"What critique does the film reviewer give to the actor who plays the rock star protagonist of ""Velvet Goldmine""?",His dialogue feels too scripted and unnatural,He is upstaged by the best supporting actor
63640,Why does Casey feels regret about choosing prison over the court’s option to be sent into Jupiter’s Great Red Spot to study its inhabitants?,"Terrified that being sent to Jupiter will kill him, Casey opts for a jail sell. When he’s told that Jupiter is not as dangerous as once thought, and that the mission could actually make him rich, Casey fears that he’s lost his daredevil edge.","Terrified that being sent to Jupiter will kill him, Casey opts for a jail sell. When he’s told that Jupiter is filled with insect-like beings who share his enthusiasm for a reckless lifestyle, and that the mission could actually make him rich, Casey fears that he’s lost his dare devil edge.

"
60995,Which is the best description of the relationship between Linton and Howell?,Howell is trying to be supportive but is exhausted by Linton's insistence,Howell is only meeting with Linton out of a feeling of obligation and doesn't care for him much
61052,What lie does Gwayne plan to tell the crew?,Everyone is already infected.,There is not enough fuel to get back to Earth.
51203,What caused Ben to physically assault Cobb?,Cobb's vocal disgust for spacemen. ,Cobb physically assaulted Ben first. 
24192,Why is Henry referred to as the First One,Was the first person pieced back together after death.,He was the first one to make it back alive from the type of trip that he went on.
61405,It is suggested that which of the following happens to Jimmy D? ,Jimmy D ends up in jail.,Jimmy D finds Mia and helps her.
51053,What didn't Roger learn when he returned to Earth?,that he could stay if he used his new powers,that he had been in a car accident
60713,What happened to Mrs. Failright?,She was startled.,She was raped.
23960,What is the significance of the story's title?,It hints at sponsorship being relevant,We shows that this is part of a newscast recording
61263,"Given Arapoulous' description of his homeland, what can you conclude about it?",The conditions allow for successful crop growing.,Arapoulous' homeland has unpredictable seasons.
20068,How do people now feel about keeping all of their natural teeth?,Entitled,Proud
26569,What do the settings of Zarwell's comanalyses have in common?,pursuits,weapons
51129,What is ironic about Earth's customer service policy?,"What is 'right' for the customer always benefits the corporation, directly or indirectly",The customer service policy offers no ideal alternatives for non-Earthmen
63875,What doesn't describe Jaro?,he'll do anything for money,he's well-known on many planets
61242,Why do the Americans need to ask the Russians for help?,They need more calking compound to fix the leak. All of what they had has already hardened. ,They need more manpower to help fix the rest of the dome. 
61263,"Who wanted to mine Lovenbroy’s minerals? 
","Boge
","Croanie
"
24966,How is Alan able to evade so many robots?,"Luckily for Alan, the robots are shooting at all the living creatures, including bugs. ","Luckily for Alan, the robots are having a difficult time navigating the jungle terrain."
26569,Which term best describes the sequencing of Zarwell's dreams under comanalysis? ,arbitrary,regressive
20028,What isn't a conclusion drawn?,Sam Adams was easily identifiable,Pyramid Hefeweizen is not worth the money
62198,Why does Thig leave a note at Torp's desk?,"He wants to make sure no one comes to invade Earth, and have reason to fear doing so. ",He wants to warn the other Orthans about the potential dangers of Earth. 
20026,What doesn't the author believe about John McCain?,he's the only experienced political candidate in the running,McCain could afford to miss Ames because of his support in other states
62498,Why does Pop prefer Dick's help with the spaceship more than Bobby's?,"Dick is more mature and takes the journey seriously, unlike Bobby.",Bobby does not cooperate with Pop as well as Dick does.
24278,Why are the Belderkans shooting if they might hit Umlauna?,"If they shoot Umlauna, he'll be a martyr for their cause. That is okay.",The Belderkans don't realize that Umlauna is with Read and Rashid. 
26741,Why does Paul think an alien wouldn't be able to hide on Earth?,"The Earth has so many intelligence agencies, at least one would be watching when an alien gave itself away.",An alien would not be able to mimic a human enough to fit in with society.
47841,What didn't happen on Judy's first encounter with the fountain?,she explored the tower,she tried to find her grandparents
20061,Which isn't an apparent theme in Velvet Goldmine?,power can be deadly,some people will give themselves up for money and fame
51656,In what significant way was the CPA system different than other judicial systems for criminals?,Crimes were not punished.,Criminals were hired for higher-up jobs in society.
99901,Which statement best describes the purpose of this text?,To explain how industries are approaching collaboration and making decisions in AI with regard to social responses,To demonstrate how humans are taking advantages of AI-related opportunities while dodging the risks
